Ticker,Date,Open,High,Low,Close,Volume
TLT,2005/6/16,93.8,94.42,93.57,94.34,1370400
TLT,2005/6/17,94.11,94.47,94.02,94.33,555900
TLT,2005/6/20,93.82,94.2,93.6,94.17,454000
TLT,2005/6/21,94.38,94.86,94.32,94.86,503100
TLT,2005/6/22,95.49,96.09,95.26,96.01,952300
TLT,2005/6/23,95.8,95.98,95.54,95.91,996300
TLT,2005/6/24,96.24,96.45,96.02,96.39,930700
TLT,2005/6/27,96.49,96.81,96.35,96.65,1211000
TLT,2005/6/28,96.32,96.37,95.91,95.99,982400
TLT,2005/6/29,96.47,96.48,95.6,95.84,1682400
TLT,2005/6/30,95.86,96.72,95.81,96.7,2159400
TLT,2005/7/1,96.04,96.26,94.99,95.2,2225900
TLT,2005/7/5,94.35,94.74,94.27,94.3,1076100
TLT,2005/7/6,94.63,94.83,94.43,94.82,854100
TLT,2005/7/7,95.43,95.55,94.96,95.02,1673000
TLT,2005/7/8,95.25,95.25,94.32,94.63,1259300
TLT,2005/7/11,94.11,94.65,93.95,94.63,982000
TLT,2005/7/12,94.35,94.53,94.06,94.1,743700
TLT,2005/7/13,94.05,94.1,93.86,93.96,886600
TLT,2005/7/14,94.1,94.14,93.6,93.72,874800
TLT,2005/7/15,93.5,94.03,93.5,93.97,1064800
TLT,2005/7/18,93.85,93.97,93.1,93.27,1204500
TLT,2005/7/19,93.23,93.72,93.12,93.6,1227200
TLT,2005/7/20,93.51,94.24,93.18,94.11,1984700
TLT,2005/7/21,93.48,93.54,92.68,92.83,3824200
TLT,2005/7/22,93.1,93.62,93.03,93.55,1615200
TLT,2005/7/25,93.4,93.71,93.14,93.21,305100
TLT,2005/7/26,93.27,93.41,93.17,93.36,340500
TLT,2005/7/27,93.07,93.27,93.01,93.21,843300
TLT,2005/7/28,93.38,94.17,93.38,94.04,578900
TLT,2005/7/29,93.8,93.8,92.85,93.11,1699900
TLT,2005/8/1,92.5,92.6,92.02,92.42,1760300
TLT,2005/8/2,92.27,92.46,91.96,92.12,1071400
TLT,2005/8/3,92.25,92.66,92.25,92.57,591100
TLT,2005/8/4,92.59,92.79,92.2,92.38,1046800
TLT,2005/8/5,91.7,91.87,91.554,91.66,1066700
TLT,2005/8/8,91.68,91.85,91.44,91.49,988400
TLT,2005/8/9,91.7,91.85,91.28,91.83,1474800
TLT,2005/8/10,92.01,92.1,91.54,91.73,1069300
TLT,2005/8/11,92.03,92.45,91.7,92.37,881900
TLT,2005/8/12,92.62,93.44,92.57,93.31,1765100
TLT,2005/8/15,93.26,93.3,93.05,93.07,1105400
TLT,2005/8/16,93.68,93.9,93.5,93.72,1311000
TLT,2005/8/17,93.51,93.73,92.98,93.1,1287600
TLT,2005/8/18,93.45,93.81,93.27,93.79,995300
TLT,2005/8/19,93.36,93.84,93.34,93.78,439200
TLT,2005/8/22,93.54,93.8,93.2,93.68,599300
TLT,2005/8/23,93.73,94.23,93.65,94.11,491800
TLT,2005/8/24,94.27,94.33,93.85,94.2,998200
TLT,2005/8/25,94.28,94.61,94.06,94.5,812400
TLT,2005/8/26,94.65,94.88,94.2,94.47,874600
TLT,2005/8/29,94.83,94.88,94.5,94.59,550100
TLT,2005/8/30,94.83,95.35,94.72,95.19,1392700
TLT,2005/8/31,95.31,96,95.3,95.99,1310800
TLT,2005/9/1,95.31,95.74,94.93,95.08,1899000
TLT,2005/9/2,94.88,95.29,94.8,95.16,621400
TLT,2005/9/6,95.01,95.17,94.48,94.49,967600
TLT,2005/9/7,94.18,94.18,93.36,93.6,1090200
TLT,2005/9/8,93.89,93.98,93.6,93.7,373100
TLT,2005/9/9,93.96,94.32,93.88,94,426400
TLT,2005/9/12,93.66,93.71,93.19,93.35,917300
TLT,2005/9/13,93.76,94.12,93.64,93.84,450400
TLT,2005/9/14,93.82,93.88,93.38,93.48,346400
TLT,2005/9/15,93.35,93.35,92.4,92.71,2225800
TLT,2005/9/16,92.3,92.48,91.88,92.1,2145500
TLT,2005/9/19,92.18,92.44,92.1,92.3,886100
TLT,2005/9/20,92.29,92.8,91.88,92.54,1848800
TLT,2005/9/21,93.28,93.41,93.13,93.4,993000
TLT,2005/9/22,93.37,93.45,93.13,93.31,761700
TLT,2005/9/23,93.05,93.1,92.61,92.61,656800
TLT,2005/9/26,92.11,92.38,92.1,92.19,680900
TLT,2005/9/27,92.27,92.56,91.94,92.32,827800
TLT,2005/9/28,92.39,93.02,92.26,92.94,712800
TLT,2005/9/29,92.6,92.61,92.36,92.52,657100
TLT,2005/9/30,92.58,92.69,92,92.2,1391800
TLT,2005/10/3,91.79,92.08,91.1,91.12,1370900
TLT,2005/10/4,91.37,91.54,91.21,91.42,783200
TLT,2005/10/5,91.68,91.98,91.57,91.82,1215800
TLT,2005/10/6,91.7,91.74,91.44,91.47,340000
TLT,2005/10/7,91.09,91.95,90.96,91.84,1337800
TLT,2005/10/10,91.85,91.97,91.62,91.78,159700
TLT,2005/10/11,91.84,91.92,91.45,91.59,679100
TLT,2005/10/12,91.44,91.44,90.65,90.7,1105700
